File Size Report for: D:\Desktop\cool\doog1\clean_src
============================================================
File Name                                | Size (Bytes)   
============================================================
FUN_10285dc0_region_core7.cpp            | 42,357         
FUN_10285dc0_region_core3.cpp            | 35,710         
FUN_10285dc0_region_core0.cpp            | 35,698         
FUN_10285dc0_region_core2.cpp            | 35,612         
FUN_10285dc0_region_core6.cpp            | 29,163         
FUN_10285dc0_region_core5.cpp            | 28,206         
FUN_10285dc0_region_core8.cpp            | 27,635         
FUN_10285dc0_region_core1.cpp            | 26,756         
FUN_10285dc0_region_core9.cpp            | 24,653         
FUN_10285dc0_region_core10.cpp           | 24,514         
FUN_10285dc0_region_core4.cpp            | 18,763         
FUN_10285dc0_region_core11.cpp           | 14,150         
FUN_1032a1f0.cpp                         | 12,270         
ExecuteBytecodeKernel.cpp                | 10,770         
opcode_specification_table.md            | 8,534          
FUN_1033c5bf.cpp                         | 7,847          
build_errors.txt                         | 7,512          
machine_specification_draft.md           | 7,056          
FUN_10343ccb.cpp                         | 6,815          
FUN_1034f83e.cpp                         | 6,176          
clean_symbols.h                          | 6,125          
FUN_1033cea9.cpp                         | 6,074          
test_harness.cpp                         | 5,893          
run_payload.cpp                          | 5,494          
FUN_102dfa30.cpp                         | 5,157          
FUN_102b9680.cpp                         | 4,683          
vm_context.h                             | 4,594          
FUN_11fd50b0.cpp                         | 4,323          
FUN_10316470.cpp                         | 4,227          
FUN_102b9200.cpp                         | 4,063          
FUN_102b9430.cpp                         | 4,063          
FUN_10342ebe.cpp                         | 4,058          
FUN_102edd10.cpp                         | 4,051          
vm_kernel.cpp                            | 4,026          
FUN_1034798f.cpp                         | 3,970          
micro_harness.cpp                        | 3,785          
FUN_10343870.cpp                         | 3,714          
_memset.cpp                              | 3,629          
FUN_102afc50.cpp                         | 3,479          
FUN_1034145b.cpp                         | 3,370          
is_positional_parameter_reappearance_consistent.cpp | 3,369          
FUN_1034a0f5.cpp                         | 3,236          
FUN_102e1930.cpp                         | 3,177          
FUN_102d1890.cpp                         | 3,170          
FUN_102e1d80.cpp                         | 3,165          
FUN_102d1250.cpp                         | 3,016          
FUN_102d3360.cpp                         | 2,967          
FUN_102b9f00.cpp                         | 2,910          
FUN_102d3080.cpp                         | 2,910          
FUN_102ba540.cpp                         | 2,897          
FUN_102b1360.cpp                         | 2,895          
FUN_102e1c30.cpp                         | 2,889          
FUN_102b15a0.cpp                         | 2,873          
FUN_102d1f30.cpp                         | 2,873          
FUN_102d3190.cpp                         | 2,831          
FUN_102e18a0.cpp                         | 2,763          
FUN_103418b2.cpp                         | 2,751          
FUN_102f0180.cpp                         | 2,611          
FUN_1034130a.cpp                         | 2,552          
FUN_103147e0.cpp                         | 2,538          
FUN_1033cd98.cpp                         | 2,508          
FUN_102de480.cpp                         | 2,443          
FUN_102de0c0.cpp                         | 2,395          
