byte_offset,orig_val_hex,mutated_val_hex,cursor_end,bytes_consumed,overflow
0,0x1,0x0,3,3,0
0,0x1,0x1,3,3,0
0,0x1,0x2,3,3,0
0,0x1,0x4,3,3,0
0,0x1,0x8,3,3,0
0,0x1,0x10,3,3,0
0,0x1,0x20,3,3,0
0,0x1,0x7f,3,3,0
0,0x1,0x80,3,3,0
0,0x1,0xff,3,3,0
1,0x0,0x1,2,2,0
1,0x0,0x2,3,3,0
1,0x0,0x4,3,3,0
1,0x0,0x8,3,3,0
1,0x0,0x10,3,3,0
1,0x0,0x20,3,3,0
1,0x0,0x7f,2,2,0
1,0x0,0x80,3,3,0
1,0x0,0xff,2,2,0
2,0x0,0x1,16,16,0
2,0x0,0x2,23,23,0
2,0x0,0x4,23,23,0
2,0x0,0x8,23,23,0
2,0x0,0x10,23,23,0
2,0x0,0x20,23,23,0
2,0x0,0x7f,23,23,0
2,0x0,0x80,23,23,0
2,0x0,0xff,23,23,0
3,0x0,0x1,3,3,0
3,0x0,0x2,3,3,0
3,0x0,0x4,3,3,0
3,0x0,0x8,3,3,0
3,0x0,0x10,3,3,0
3,0x0,0x20,3,3,0
3,0x0,0x7f,3,3,0
3,0x0,0x80,3,3,0
3,0x0,0xff,3,3,0
4,0x0,0x1,3,3,0
4,0x0,0x2,3,3,0
4,0x0,0x4,3,3,0
4,0x0,0x8,3,3,0
4,0x0,0x10,3,3,0
4,0x0,0x20,3,3,0
4,0x0,0x7f,3,3,0
4,0x0,0x80,3,3,0
4,0x0,0xff,3,3,0
5,0x0,0x1,3,3,0
5,0x0,0x2,3,3,0
5,0x0,0x4,3,3,0
5,0x0,0x8,3,3,0
5,0x0,0x10,3,3,0
5,0x0,0x20,3,3,0
5,0x0,0x7f,3,3,0
5,0x0,0x80,3,3,0
5,0x0,0xff,3,3,0
6,0x0,0x1,3,3,0
6,0x0,0x2,3,3,0
6,0x0,0x4,3,3,0
6,0x0,0x8,3,3,0
6,0x0,0x10,3,3,0
6,0x0,0x20,3,3,0
6,0x0,0x7f,3,3,0
6,0x0,0x80,3,3,0
6,0x0,0xff,3,3,0
7,0x0,0x1,3,3,0
7,0x0,0x2,3,3,0
7,0x0,0x4,3,3,0
7,0x0,0x8,3,3,0
7,0x0,0x10,3,3,0
7,0x0,0x20,3,3,0
7,0x0,0x7f,3,3,0
7,0x0,0x80,3,3,0
7,0x0,0xff,3,3,0
8,0x0,0x1,3,3,0
8,0x0,0x2,3,3,0
8,0x0,0x4,3,3,0
8,0x0,0x8,3,3,0
8,0x0,0x10,3,3,0
8,0x0,0x20,3,3,0
8,0x0,0x7f,3,3,0
8,0x0,0x80,3,3,0
8,0x0,0xff,3,3,0
9,0x0,0x1,3,3,0
9,0x0,0x2,3,3,0
9,0x0,0x4,3,3,0
9,0x0,0x8,3,3,0
9,0x0,0x10,3,3,0
9,0x0,0x20,3,3,0
9,0x0,0x7f,3,3,0
9,0x0,0x80,3,3,0
9,0x0,0xff,3,3,0
10,0x0,0x1,3,3,0
10,0x0,0x2,3,3,0
10,0x0,0x4,3,3,0
10,0x0,0x8,3,3,0
10,0x0,0x10,3,3,0
10,0x0,0x20,3,3,0
10,0x0,0x7f,3,3,0
10,0x0,0x80,3,3,0
10,0x0,0xff,3,3,0
11,0x0,0x1,3,3,0
11,0x0,0x2,3,3,0
11,0x0,0x4,3,3,0
11,0x0,0x8,3,3,0
11,0x0,0x10,3,3,0
11,0x0,0x20,3,3,0
11,0x0,0x7f,3,3,0
11,0x0,0x80,3,3,0
11,0x0,0xff,3,3,0
12,0x0,0x1,3,3,0
12,0x0,0x2,3,3,0
12,0x0,0x4,3,3,0
12,0x0,0x8,3,3,0
12,0x0,0x10,3,3,0
12,0x0,0x20,3,3,0
12,0x0,0x7f,3,3,0
12,0x0,0x80,3,3,0
12,0x0,0xff,3,3,0
13,0x0,0x1,3,3,0
13,0x0,0x2,3,3,0
13,0x0,0x4,3,3,0
13,0x0,0x8,3,3,0
13,0x0,0x10,3,3,0
13,0x0,0x20,3,3,0
13,0x0,0x7f,3,3,0
13,0x0,0x80,3,3,0
13,0x0,0xff,3,3,0
14,0x0,0x1,3,3,0
14,0x0,0x2,3,3,0
14,0x0,0x4,3,3,0
14,0x0,0x8,3,3,0
14,0x0,0x10,3,3,0
14,0x0,0x20,3,3,0
14,0x0,0x7f,3,3,0
14,0x0,0x80,3,3,0
14,0x0,0xff,3,3,0
15,0x0,0x1,3,3,0
15,0x0,0x2,3,3,0
15,0x0,0x4,3,3,0
15,0x0,0x8,3,3,0
15,0x0,0x10,3,3,0
15,0x0,0x20,3,3,0
15,0x0,0x7f,3,3,0
15,0x0,0x80,3,3,0
15,0x0,0xff,3,3,0
16,0x0,0x1,3,3,0
16,0x0,0x2,3,3,0
16,0x0,0x4,3,3,0
16,0x0,0x8,3,3,0
16,0x0,0x10,3,3,0
16,0x0,0x20,3,3,0
16,0x0,0x7f,3,3,0
16,0x0,0x80,3,3,0
16,0x0,0xff,3,3,0
17,0x0,0x1,3,3,0
17,0x0,0x2,3,3,0
17,0x0,0x4,3,3,0
17,0x0,0x8,3,3,0
17,0x0,0x10,3,3,0
17,0x0,0x20,3,3,0
17,0x0,0x7f,3,3,0
17,0x0,0x80,3,3,0
17,0x0,0xff,3,3,0
18,0x0,0x1,3,3,0
18,0x0,0x2,3,3,0
18,0x0,0x4,3,3,0
18,0x0,0x8,3,3,0
18,0x0,0x10,3,3,0
18,0x0,0x20,3,3,0
18,0x0,0x7f,3,3,0
18,0x0,0x80,3,3,0
18,0x0,0xff,3,3,0
19,0x0,0x1,3,3,0
19,0x0,0x2,3,3,0
19,0x0,0x4,3,3,0
19,0x0,0x8,3,3,0
19,0x0,0x10,3,3,0
19,0x0,0x20,3,3,0
19,0x0,0x7f,3,3,0
19,0x0,0x80,3,3,0
19,0x0,0xff,3,3,0
20,0x0,0x1,3,3,0
20,0x0,0x2,3,3,0
20,0x0,0x4,3,3,0
20,0x0,0x8,3,3,0
20,0x0,0x10,3,3,0
20,0x0,0x20,3,3,0
20,0x0,0x7f,3,3,0
20,0x0,0x80,3,3,0
20,0x0,0xff,3,3,0
21,0x0,0x1,3,3,0
21,0x0,0x2,3,3,0
21,0x0,0x4,3,3,0
21,0x0,0x8,3,3,0
